year,month,EU,EN,UE,UN,NE,NU,EU_Layoff,EU_Quit,EU_Other,EN_Layoff,EN_Quit,EN_Other
1999,7,.011831037,.030396372,.32351714,.23745096,.052932225,.02271929,.0059638792,.0019945991,.0038725585,.0012393836,.013238573,.015918415
1999,8,.012180937,.029692415,.31637734,.24931198,.050160784,.02126126,.0069850809,.0020411829,.0031546736,.0017558903,.014215167,.013721358
1999,9,.011161476,.03075771,.33618,.22249591,.049401477,.023885302,.006321915,.0019210496,.0029185119,.0013554548,.016484341,.012917915
1999,10,.011535482,.026835073,.29905969,.25779197,.0513779,.020833977,.0057675894,.002032514,.0037353791,.0014617704,.01185925,.013514052
1999,11,.011893285,.028992681,.33558762,.25482777,.048984528,.02347583,.0062283413,.0020093317,.0036556115,.0032558856,.0098201558,.01591664
1999,12,.011213664,.027355041,.31542563,.2580502,.048819214,.022168901,.0054469411,.0023268503,.0034398725,.0008580336,.012241926,.014255081
2000,1,.012282905,.028963832,.35796645,.23805308,.049455691,.021864008,.006395929,.0019259754,.0039610006,.0017972214,.012259521,.01490709
2000,2,.010904351,.029042644,.31958795,.2508668,.052129686,.022631848,.0056462982,.0019120838,.0033459691,.0020000665,.011765233,.015277345
2000,3,.011221984,.029597146,.33939898,.25788808,.05402308,.021830656,.0056645959,.0021860744,.0033713141,.0021053103,.012043049,.015448787
2000,4,.010597348,.027099125,.32737124,.25934964,.049729273,.020565329,.005521927,.001853331,.0032220902,.0017907616,.011253424,.014054939
2000,5,.011665596,.029689176,.30630609,.25633878,.046955679,.021180611,.0063886819,.0020390716,.0032378421,.0012673289,.011569714,.016852133
2000,6,.011613757,.028624915,.33307561,.27143914,.051832568,.020705339,.0062066903,.0018382437,.0035688234,.0013792358,.013354563,.013891116
2000,7,.011501157,.029124951,.31802732,.24545322,.045142412,.0185159,.0059461123,.0019430978,.0036119465,.0015578481,.012540146,.015026957
2000,8,.01181904,.026178723,.3119992,.26419938,.049901225,.021240778,.0062006316,.0019652562,.0036531526,.0032994712,.0090865735,.013792679
2000,9,.01159395,.029795514,.33977678,.25146013,.052392852,.020338003,.0056853574,.0019235618,.0039850306,.0019999149,.011565759,.01622984
2000,10,.011247261,.030143503,.3443858,.24371527,.051708892,.019592654,.005320969,.0022017367,.0037245557,.0024698838,.009680463,.017993156
2000,11,.011542269,.031373333,.32713738,.24532998,.051860146,.021052714,.0059268377,.001678752,.0039366791,.0011684039,.013399154,.016805775
2000,12,.0099087749,.028782692,.28578582,.24082226,.051161189,.019882714,.0056681256,.0014923956,.0027482538,.0014331999,.012762473,.014587019
2001,1,.012853066,.030376224,.31517619,.23510534,.054152407,.022496225,.0074769608,.0021209628,.0032551419,.0011777926,.013080928,.016117504
2001,2,.013595465,.032040823,.32444721,.23796102,.05536342,.020824017,.0082207872,.0021263505,.0032483269,.0027015575,.013226636,.016112629
2001,3,.011423798,.028141344,.29246724,.2482592,.050936833,.021145605,.0062882667,.001857624,.0032779076,.0028494238,.01137865,.01391327
2001,4,.012549343,.030935239,.28929758,.26458049,.048552137,.021966882,.0072238212,.0018008848,.0035246364,.0023362869,.012127445,.016471507
2001,5,.012020665,.03170621,.32822442,.24887405,.049459729,.019832127,.006936328,.0018812829,.0032030544,.0020101394,.014235862,.015460209
2001,6,.01294483,.030346124,.33017889,.24044767,.05436464,.021119408,.007541392,.0020797562,.0033236814,.0025702787,.0093774218,.018398423
2001,7,.012931393,.031166788,.29452848,.24183045,.054685019,.020299621,.0076179905,.0021043741,.0032090289,.0016744742,.014226275,.015266039
2001,8,.013295752,.03425616,.30197841,.24247663,.049900129,.023610653,.0075167371,.0020449781,.0037340368,.0034016755,.014781622,.016072862
2001,9,.012197631,.029428948,.28999743,.23356548,.052202594,.023631698,.0070914389,.0018088132,.0032973792,.0024338791,.010569562,.016425507
2001,10,.014339288,.029016295,.26804218,.23392427,.04764187,.025502477,.0096268188,.00158869,.0031237788,.0037121447,.010705817,.014598334
2001,11,.016330173,.028720314,.278979,.22506925,.047749154,.02445049,.0104782,.0018223319,.0040296409,.0030990783,.010480539,.015140696
2001,12,.01320096,.029482074,.27552137,.21643004,.047725592,.026484283,.0079105301,.001810224,.003480206,.0036763146,.011785001,.014020759
2002,1,.014879636,.03070516,.26243114,.22893143,.047268745,.022585563,.0092294309,.0018194359,.0038307696,.0019430822,.011216717,.017545361
2002,2,.015283778,.0278007,.29942772,.21053489,.050710481,.024622191,.0093929768,.0018268556,.0040639462,.0029379942,.011934166,.01292854
